script,param1,param2,param3,param4,param5,bl_memory,ph_memory,ss_memory,time,version,peak_memory
iarray_constr.py,memory,ones,float32,0,0,151.0,,-0.043,0.0002,2022.2,0.645
iarray_constr.py,disk,ones,float32,0,0,151.0,,0.625,0.0026,2022.2,1.32
iarray_constr.py,memory,full,float32,0,0,151.0,,-0.082,0.0002,2022.2,0.523
iarray_constr.py,disk,full,float32,0,0,151.0,,0.148,0.0025,2022.2,0.906
iarray_constr.py,memory,linspace,float32,0,0,151.0,,11.4,0.321,2022.2,23.7
iarray_constr.py,disk,linspace,float32,0,0,151.0,,17.3,0.336,2022.2,17.3
iarray_constr.py,memory,ones,int32,0,0,151.0,,0.398,0.0002,2022.2,0.398
iarray_constr.py,disk,ones,int32,0,0,151.0,,0.371,0.0025,2022.2,1.0
iarray_constr.py,memory,full,int32,0,0,151.0,,0.0781,0.0002,2022.2,0.746
iarray_constr.py,disk,full,int32,0,0,151.0,,0.477,0.0025,2022.2,1.11
iarray_constr.py,memory,arange,int32,0,0,152.0,,1.71,0.319,2022.2,11.4
iarray_constr.py,disk,arange,int32,0,0,151.0,,17.4,0.32,2022.2,17.4
iarray_constr.py,memory,standard_normal,float32,10,0,151.0,,999.0,0.302,2022.2,999.0
iarray_constr.py,memory,standard_normal,float32,0,0,152.0,,1500.0,0.273,2022.2,1500.0
iarray_constr.py,disk,standard_normal,float32,10,0,151.0,,31.4,1.67,2022.2,68.2
iarray_constr.py,disk,standard_normal,float32,0,0,152.0,,9.84,1.94,2022.2,91.4
iarray_constr.py,memory,poisson,int32,0,0,151.0,,303.0,0.29,2022.2,303.0
iarray_constr.py,disk,poisson,int32,0,0,151.0,,10.2,1.34,2022.2,37.5
iarray_constr_udf.py,memory,0,0,0,0,154.0,,34.7,0.1,2022.2,34.7
iarray_constr_udf.py,disk,0,0,0,0,155.0,,26.3,0.578,2022.2,58.1
iarray_expr.py,load,mean,0,0,0,856.0,,755.0,0.35,2022.2,755.0
iarray_expr.py,load,trans,0,0,0,856.0,,691.0,0.58,2022.2,691.0
iarray_expr.py,open,mean,0,0,0,151.0,,61.2,2.43,2022.2,93.1
iarray_expr.py,open,trans,0,0,0,152.0,,63.8,2.78,2022.2,95.6
iarray_expr_udf.py,load,mean,0,0,0,878.0,,733.0,0.345,2022.2,733.0
iarray_expr_udf.py,load,mean,lazy,0,0,860.0,,752.0,0.346,2022.2,752.0
iarray_expr_udf.py,load,trans,0,0,0,878.0,,267.0,0.527,2022.2,267.0
iarray_expr_udf.py,load,trans,lazy,0,0,861.0,,688.0,0.574,2022.2,688.0
iarray_expr_udf.py,open,mean,0,0,0,174.0,,39.4,2.34,2022.2,71.2
iarray_expr_udf.py,open,mean,lazy,0,0,156.0,,58.2,2.39,2022.2,90.0
iarray_expr_udf.py,open,trans,0,0,0,174.0,,38.4,2.2,2022.2,70.1
iarray_expr_udf.py,open,trans,lazy,0,0,157.0,,60.1,2.82,2022.2,91.9
iarray_linalgebra.py,load,matmul,0,0,0,8880.0,,55.5,10.9,2022.2,79.8
iarray_linalgebra.py,open,matmul,0,0,0,346.0,,41.0,12.7,2022.2,41.1
iarray_linalgebra.py,load,transpose,0,0,0,8690.0,,8560.0,17.7,2022.2,8560.0
